UUID;Version;Name (de);Name (en);Kategorie (original);Kategorie (en);Konformität;Laenderkennung;Typ;Referenzjahr;Gueltig bis;URL;Declaration owner;Veroeffentlicht am;Registrierungsnummer;Registrierungsstelle;UUID des Vorgängers;Version des Vorgängers;URL des Vorgängers;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;biogener Kohlenstoffgehalt in kg;biogener Kohlenstoffgehalt (Verpackung) in kg;Modul;Szenario;Szenariobeschreibung;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);
a758fb6a-7fb1-4cdc-b652-c42cf2f7632c;20.20.020;Transportbeton C30/37;Ready-mix concrete C30/37;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a758fb6a-7fb1-4cdc-b652-c42cf2f7632c?version=20.20.020;thinkstep;;;;;;;1;m3;b929fd24-5ca1-4943-82a3-e3325bc04482;Transportbeton C30/37 (m³);;;2360;;;;;;;D;;;-4.84739547320902;-0.00000000000009355467;0.0010522579216817;-0.0114469843792448;-0.00222739925476734;-0.00000107733370313845;-58.6058112987861;-18.4496047312573;0;-18.4496047312573;-64.6862215602381;0;-64.6862215602381;0;0;0;-0.0119645925432155;-0.00000121922853771358;-38.022187051287;-0.00240850506674332;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
a43dd541-cfd8-4ff5-b632-67dcece91095;20.20.020;Zement (CEM IV 42,5);Cement (CEM IV 42.5);'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';'Mineral building products' / 'Binder' / 'Cement';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a43dd541-cfd8-4ff5-b632-67dcece91095?version=20.20.020;thinkstep;;;;;;;1;kg;bdf5f4a5-3e24-4729-8ddd-fa89b8f1efd2;Zement (CEM IV 42,5);;;;;;;;;;A1-A3;;;0.688015067388834;0.00000000000000378719;0.0000780150093792893;0.000507295017291471;0.0000853482558658912;0.00000003877641268504;1.83230650962024;0.691950950462506;0;0.691950950462506;2.04255273093961;0;2.04255273093961;0;0.00765024;0.08047464;0.000491881032144356;0.00000000634884624028;0.0119767817971863;0.0000832810295717243;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;A1-A3;;;228.618348137706;0.00000000000103216953;-0.00566464852175859;0.262218690095156;0.0512717426650845;0.0000118197599051823;867.841873693107;201.216656306654;0;201.216656306654;926.04333333874;0;926.04333333874;0;2.21986844444444;23.3513084444444;0.409649928257323;0.00000943048653004335;86.4340994661032;0.0230486870134699;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;A4;;;1.69600829875071;0.00000000000000056915;-0.00428420127198055;0.0101136914829953;0.0025721604612692;0.00000014469405579686;23.048460026501;1.34540959386559;0;1.34540959386559;23.1106436593817;0;23.1106436593817;0;0;0;0.001204927195358;0.00000086362064858045;0.00405632183928434;0.0000243307593461026;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;C1;;;1.55515662544962;0.00000000000000051839;0.000535977097406851;0.00542430234525427;0.00127983846448343;0.00000013179039209711;20.993022604824;1.22542738145162;0;1.22542738145162;21.0496607667322;0;21.0496607667322;0;0;0;0.00109747305547673;0.00000078660386753806;0.00369458332429269;0.000022160967819888;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;C2;;;6.02501740684037;0.0000000000000019943;-0.00397755486720838;0.0121698857857396;0.00289311830806254;0.00000050701028088527;80.7621717951947;4.71433669016243;0;4.71433669016243;80.9800642372835;0;80.9800642372835;0;0;0;0.00422208412363829;0.00000302614053634541;0.0142134164653175;0.0000852553690770715;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;C3;;;15.8728501016908;0.00000000000008991496;0.00931564250243614;0.102650465349114;0.0174663680295986;0.00000852915339333338;257.150065542626;28.4495158425923;0;28.4495158425923;263.566583086753;0;263.566583086753;0;0;0;0.0676237667015645;0.00000477417076961319;669.772260521739;0.00254011597188205;0;2007.21649484536;0;0;0;;;;;;;;;;;;;;;;;;;;
9702d9ab-2af2-4fdc-9d99-225583a9ffb7;20.20.020;Transportbeton C20/25;Ready-mix concrete C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7?version=20.20.020;thinkstep;;;;;;;1;m3;768dfe75-bb7f-4a11-b2ab-692406188bfc;Transportbeton C20/25 (m³);;;2360;;;;;;;D;;;-4.84739547320902;-0.00000000000009355467;0.0010522579216817;-0.0114469843792448;-0.00222739925476734;-0.00000107733370313845;-58.6058112987861;-18.4496047312573;0;-18.4496047312573;-64.6862215602381;0;-64.6862215602381;0;0;0;-0.0119645925432155;-0.00000121922853771358;-38.022187051287;-0.00240850506674332;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
94ef6ac0-956a-4d60-9062-990df91e7917;20.20.020;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;ETICS gluing and coating silcate dispersion plaster;'Dämmstoffe' / 'Wärmedämmverbundsystem' / 'Wärmedämmverbundsystem';'Insulation materials' / 'Thermal insulation composite system' / 'Thermal insulation composite system';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/94ef6ac0-956a-4d60-9062-990df91e7917?version=20.20.020;thinkstep;;;;;;;1;qm;ea5f4834-53b5-4796-ada4-d24ed86316b3;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;;12.48;;;;;;;;A1-A3;;;5.48028517718882;0.00000000000107805104;0.00161365119127574;0.0123753091824339;0.00176083448117589;0.0000156823270296221;78.1952320442178;12.5658967377559;0;12.5658967377559;63.8559034587084;17.6;81.4559034587084;0;0.0158354642516383;0.166576902800887;0.0341585151559443;0.00000024813919965944;0.582290497873601;0.00128989456473128;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
94ef6ac0-956a-4d60-9062-990df91e7917;20.20.020;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;ETICS gluing and coating silcate dispersion plaster;'Dämmstoffe' / 'Wärmedämmverbundsystem' / 'Wärmedämmverbundsystem';'Insulation materials' / 'Thermal insulation composite system' / 'Thermal insulation composite system';'DIN EN 15804';DE;generic dataset;2018;2022;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/94ef6ac0-956a-4d60-9062-990df91e7917?version=20.20.020;thinkstep;;;;;;;1;qm;ea5f4834-53b5-4796-ada4-d24ed86316b3;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;;12.48;;;;;;;;C3;;;0;0;0;0;0;0;0;0;0;0;17.6;-17.6;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
